Celltype_1	Celltype_2	Mean_AUROC	Match_type	Avgscore	hierarchy	Celltype_1_group	Celltype_2_group
Mouse|Granulocytopoietic cells	Human|NK cells	NS	NS	0	mh	Mouse	Human
Mouse|Granulocytopoietic cells	Human|pre-PC	NS	NS	0	mh	Mouse	Human
Mouse|Granulocytopoietic cells	Human|pro-B cells	NS	NS	0	mh	Mouse	Human
Mouse|Granulocytopoietic cells	Human|pre-B cells	NS	NS	0	mh	Mouse	Human
Mouse|Granulocytopoietic cells	Human|B cells	NS	NS	0	mh	Mouse	Human
Mouse|Granulocytopoietic cells	Human|Plasma cells	NS	NS	0	mh	Mouse	Human
Mouse|Granulocytopoietic cells	Human|Platelet	NS	NS	0	mh	Mouse	Human
Mouse|Erythroids	Human|Progenitors	NS	NS	0	mh	Mouse	Human
Mouse|Erythroids	Human|Granulocyte progenitor	NS	NS	0	mh	Mouse	Human
Mouse|Erythroids	Human|Erythroids	1	Reciprocal_top_hit	1	mh	Mouse	Human
Mouse|Erythroids	Human|Neutrophils	NS	NS	0	mh	Mouse	Human
Mouse|Erythroids	Human|Monocytes	NS	NS	0	mh	Mouse	Human
Mouse|Erythroids	Human|Macrophage	NS	NS	0	mh	Mouse	Human
Mouse|Erythroids	Human|DC	NS	NS	0	mh	Mouse	Human
Mouse|Erythroids	Human|pDC	NS	NS	0	mh	Mouse	Human
Mouse|Erythroids	Human|T cells	NS	NS	0	mh	Mouse	Human
Mouse|Erythroids	Human|CD8 T cells	NS	NS	0	mh	Mouse	Human
Mouse|Erythroids	Human|NK cells	NS	NS	0	mh	Mouse	Human
Mouse|Erythroids	Human|pre-PC	NS	NS	0	mh	Mouse	Human
Mouse|Erythroids	Human|pro-B cells	NS	NS	0	mh	Mouse	Human
Mouse|Erythroids	Human|pre-B cells	NS	NS	0	mh	Mouse	Human
Mouse|Erythroids	Human|B cells	NS	NS	0	mh	Mouse	Human
Mouse|Erythroids	Human|Plasma cells	NS	NS	0	mh	Mouse	Human
Mouse|Erythroids	Human|Platelet	NS	NS	0	mh	Mouse	Human
Mouse|Neutrophils	Human|Progenitors	NS	NS	0	mh	Mouse	Human
Mouse|Neutrophils	Human|Granulocyte progenitor	NS	NS	0	mh	Mouse	Human
Mouse|Neutrophils	Human|Erythroids	NS	NS	0	mh	Mouse	Human
Mouse|Neutrophils	Human|Neutrophils	1	Reciprocal_top_hit	0.97043677732113	mh	Mouse	Human
Mouse|Neutrophils	Human|Monocytes	NS	NS	0	mh	Mouse	Human
Mouse|Neutrophils	Human|Macrophage	NS	NS	0	mh	Mouse	Human
Mouse|Neutrophils	Human|DC	NS	NS	0	mh	Mouse	Human
Mouse|Neutrophils	Human|pDC	NS	NS	0	mh	Mouse	Human
