Barcode	tSNE1	tSNE2	tSNE3	celltype
bcHBCG:WT_3	23.958969749787	-2.48582476361625	0.971508872489595	Macrophage
bcAXGI:WT_3	12.7537433700095	29.2465384222125	-10.9737303698214	Erythroid
bcHDMM:WT_3	23.8462744942476	15.1555248771762	-7.06409024363104	Erythroid
bcFLKQ:WT_3	26.2573309058072	12.4880587619002	-5.55887139480369	Erythroid
bcDPVW:WT_3	21.4079196638524	-6.49114251652783	-0.784049078715985	Macrophage
bcANDI:WT_3	14.9652282310983	-8.94699465320314	-11.4900179441396	Neutrophil
bcBCJY:WT_3	25.9963743814501	15.3223984010925	-6.58684672699419	Erythroid
bcARZM:WT_3	26.0176521371037	-5.67549528844838	2.20735572174856	Macrophage
bcDQAR:WT_3	12.6732187591224	2.42424649479272	-2.72205939972037	NK/T cell
bcBVNO:WT_3	12.3580852205016	3.12436046630723	-2.25721396242239	NK/T cell
bcAEJY:WT_3	27.3716443513955	18.4827387456255	-8.54400788819913	Erythroid
bcAMTJ:WT_3	25.2617043070514	-5.17045655466005	3.17036625978366	Macrophage
bcFRTQ:WT_3	27.4880092044357	17.7558229348949	-9.05226845218132	Erythroid
bcGWWC:WT_3	24.4959286662473	16.928645954111	-6.66988550584539	Erythroid
bcCWJW:WT_3	14.5056776445755	-7.58251687520369	-19.1168673558276	Neutrophil
bcIHAO:WT_3	26.4115857550906	-6.7552695582753	0.976424711859747	Macrophage
bcEEIE:WT_3	27.0242593783941	17.1688867255842	-7.34918572305433	Erythroid
bcDAKA:WT_3	24.5053227663743	14.9153619863765	-6.5436872251143	Erythroid
bcDLRG:WT_3	11.9597524775694	-21.1227670891008	-2.98889076175808	Neutrophil
bcBGQI:WT_3	27.9134264632115	17.1305562542486	-7.28365935866826	Erythroid
bcCYNK:WT_3	21.8633492556968	-6.20554234338503	-0.591830148470301	Macrophage
bcDJWQ:WT_3	21.384478596174	-5.62823826729061	-0.649541139640951	Macrophage
bcBYMB:WT_3	27.8066179798533	18.4962849615758	-7.91080165790747	Erythroid
bcDLSZ:WT_3	12.1577405334709	-20.92922347491	-3.70696045998391	Neutrophil
bcBARC:WT_3	25.6776139539182	-5.56649554381189	2.39293933558009	Macrophage
bcASPH:WT_3	25.632595157838	-6.55849733456364	1.04748819173951	Macrophage
