Progenitors (MCA)	Erythroids (MCA)	Monocytes (MCA)	Macrophage (MCA)	pDC (MCA)	Basophil (MCA)	T cells (MCA)	NK cells (MCA)	B cells (MCA)	Plasma cells (MCA)	Progenitors (TM10X)	Granulocytopoietic cells (TM10X)	Neutrophils (TM10X)	Erythroids (TM10X)	Monocytes (TM10X)	DC (TM10X)	pDC (TM10X)	Basophil (TM10X)	T cells (TM10X)	B cells (TM10X)	Plasma cells (TM10X)	Progenitors (TMSS2)	Granulocytopoietic cells (TMSS2)	Neutrophils (TMSS2)	Monocytes (TMSS2)	DC (TMSS2)	pDC (TMSS2)	Basophil (TMSS2)	T cells (TMSS2)	NK cells (TMSS2)	B cells (TMSS2)	Plasma cells (TMSS2)
LAMTOR4	FECH	NADK	FCGRT			RPL38				ATAD3A	C1QTNF12	CRISPLD2	METAP2	NUPR1	NUP210	CARD11	MBOAT1	CD8A	ARL5C	DENND5B	SORBS3	NUSAP1	ADIPOR1	CFH	CD36	CARMIL1	MUC20	ZC3H12D	NRARP	PPP1R16B	QPCTL
SEC61B	METAP2	ARPC1B	CAMP			RPL18				TMEM97	ASNSD1	ANKRD22	BSG	ATF3	FRMD8	CCR5	NAPRT	SATB1	BLK	SPON1	NME4	PLIN3	SFXN5	ABCA9	MTMR4	FOXR1	PRSS29P	RCBTB1	MYO6	CD37	ANKRD55
GSTO1	COX6B2	IFITM2	AIF1			RPS4X				DTD1	SKA1	PILRB	RHD	MSR1	DPY19L1	ECH1	PTGER3	PTPN22	BFSP2	SRPRB	PLPPR3	STX2	FCGR3B	TRPS1	PAK4	RPGRIP1	SAMD13	SDF4	POGK	FOXP1	EVC
SSR2	CELA1	PRKCD	LIPA			RPL9				TIMM9	MID1IP1	CLEC4E	UBAC1	MS4A6A	PTPRA	SRGAP3	RAB37	ITK	PREP	BHLHA15	ENG	DLGAP5	CCPG1	SIRPB1	HAVCR2	GRM8	CD200R1	PCED1B	SLC25A33	BTG1	ENDOU
TPI1	UBAC1	AP1S2	PLA2G15			RPS5				ACOT7	PLK4	TREM1	CTSE	IFNGR2	ST3GAL4	TBC1D8	P2RY1	PRKCQ	H2AFV	FAM214A	MDGA1	CARD10	GADD45A	MAFB	RAB39A	TUBGCP5	PERP	TBC1D22B	CLNK	JUND	B3GNT9
RGCC	HMGB3	TPD52	CD81			RPS16				BCAP29	DEPDC1	ATXN10	EPB41	CSF2RA	TAGAP	HS3ST1	PERP	CXCR6	STRBP	MRPL57	MC5R	SGO2	NCR2	KRT80	ADGRA2	FTH1	IL1RL1	SOCS3	GNPTG	MTSS1	SELENOK
APRT	MGST3	ARPC2	TBXAS1			RPL37A				RRS1	MTHFD2	ADAM8	MGST3	LRP1	LRRC58	RAB33B	SLC41A3	SIDT1	PAIP2	LAX1	SMYD2	RAB28	DMXL2	ATP6V1B2	RALA	CHDH	TULP3	ZHX2	IL10RB	H3F3A	CPEB3
PPIA	ASNS	ANXA5	CRIP2			RPS21				GNL3	RGS19	MAX	FAM210B	LRRC25	PIMREG	TMEM163	P2RX1	DOK2	HNRNPK	SLC39A7	TAL1	TESK2	CXCL3	CD14	TRERF1	HIVEP3	ABCA8	THADA	SULT2B1	SLAMF6	ENPP1
RPL10	LMNA	ATOX1				EEF1A1				ATIC	CITED2	SCRG1	TSPAN33	GALNT9	OTULIN	FAM3C	FLNB	LFNG	STAMBPL1	TMEM214	SH2D5	SKA1	TP53INP2	CYSLTR1	TREML4	RNF122	JAZF1	MAML2	TULP4	MAP3K1	CLPTM1L
HEXA	GCLM	CORO1A				RPL18A				LAP3	HACD2	CD33	HBQ1	KLF13	SLC25A45	IRF2BP2	TRPM4	CD8B	GFRA1	RASGRP3	DNPH1	NCAPG2	KRT86	HGSNAT	SULT1A1	ZDHHC14	GATA1	DGKZ	ZCCHC18	CCR7	ARFGAP3
DDOST	MNS1	CD44				RPS15				POLR2H	ARPP19	TST	CMAS	TREM2	ACSL5	CCDC162P	ROM1	GATA3	CSRP2	B3GNT9	SPNS2	MLST8	TARM1	HMOX1	KIF5A	TLR7	ROM1	SLC9A3R1	LRRC8C	KLF2	DNAJB9
ATP6AP2	MGLL	JUNB				RPL22				HADH	COMMD1	CD300LF	CPOX	FCGR1A	MXD3	LRP8	CD200R1	IL2RG	CBX1	TPST1	TMEM176B	KBTBD6	GABARAP	GLUD1	FBXO4	ADAM11	RAPSN		CISD3	CD72	BHLHA15
STK16	SELENBP1	LAPTM4A				RPL4				EXOSC1	NDUFB7	TRIOBP	REC114	SUSD3	VHL	DDR1	CUEDC1	GIMAP8	PMF1-BGLAP	MAN1B1	IL11RA	CITED2	KDM6B	FKBP1B	AP1S3	P2RY12	ADORA3		GGCT	SBK1	CCR10
LTB4R	PLA2G12A	NAPSA				RPS12				SH2D5	PDK3	FMO5	NXPE2	RARA	BTLA	GNS	HGF	ITM2A	CHST3	C15orf39	TMEM176A	HIST1H4A	OAS3	CLN8	LSR	HS3ST1	GNA14		GATAD2A	BANK1	BMP6
GLIPR1	IFRD2	NCF2				RPL21				NOB1	PCBD2	PPP1R42	SMOX	MS4A8	PARP8	SP140L	ANGPT1	DGKA	RHOH	SELENOM	LZTS2	RASL11B	ANTXR2	CSTB	GRASP	CCDC162P	SMIM3		ATP6V0A2	FCRL1	ZNF25
RPN2	HAGH	COTL1				RPL15				PPAN	MCEE	IL1RN	ERMAP	ATP6V1B2	CTDNEP1	TUBGCP5	TMEM71	PRKCH	PPP1R16B	PRLR	KCNK12	UBTD1	RNF144A	LIPA	AGPAT1	NPC1	CCR3		VPS28	CPLX2	CREB3L2
ALDOA	TYMS	DEGS1				EEF1B2				ABCE1	WDR1	FPR1	ARF5	METRNL	FOXM1	SLA2	SCIN	RNF138	CNN3	BCAR3	ABHD14A	RPE	GMFG	HPGD	TOMM7	ITGAD	PLEKHG5		GABARAPL2	FCER2	OSTC
ETHE1	PIGQ	TALDO1				RPL27				MFSD10	CCNE2	ABTB1	SPTA1	TNFRSF1B	PRR11	CHDH	MATK	ABHD8	SIGLEC10	HYOU1	SIRT3	KIF4A	RAB6A	NXPE4	MFSD14A	IRF2BP2	ORAI2		VPS29	TIFA	PLCD3
MIF	BOLA3	MCL1				RPL5				PSMG1	CDKN2D	LIMS1	FAM220A	SIRPD	RCN2	LDHB	TACSTD2	IL27RA	UHRF1	EVC	SLCO3A1	RNASEH2C	RAB11FIP1	VPS13C	NOSTRIN	EEPD1	ST14		COX8A	SYK	EML6
DCTPP1	TK1	CORO1B				RPL7				C12orf73	LMO1	CMTM6	TMCC2	SOAT1	TPM3	SNX18	SLC22A3	GPR174	DDX54	NDUFA1	LMO2	DEPDC1	PPP1R3B	PROS1	NDUFAF8	NRXN2	LAMA5		SFT2D2	ID3	BHLHE41
EIF4A1	RFESD	PTPN1				RPS6				MRPS10		UNC119	HEMGN	CDKN1A	C17orf49	MCTP2	PLGRKT	PDE3B	PTGR1	WNT10A	METTL7A	LIN28A	PHLDA1	SELENOP	ZNF740	RTN4RL1	FAM110C			CNN3	KIAA1217
HINT1	MTHFD1	CAPZB				RPL30				GABARAPL1		SLC31A2	ALAD	ESD	ASCC1	NPC1	GALNT6	FAM102A	UBE2I	ATAT1	MYC	NCAPH	BST1	RRAS	LSM6	EPHA2	KCNE3			MYO1E	ASIP
PSMA6	RRM2	FLNA				RPS3				DNPH1		BMX	RSAD2	HPCAL1	RALA	ORAI3	ACSS2	UTRN	HIBADH	GORASP2	CAMK2A	PLK4	GADD45G	SUMF1	ARL6	XKRX	NAPRT			TCF3	CACNA1H
TMED10	LMO2	CDK2AP2				DGKA				MT1E		PI16	CDR2	PLOD3	ANAPC16	ABHD17B	TUBA8	STAT4	CPM	CREB3L2	ZNF704	DBF4	CHP1	CNDP2	SNX3	CLEC4M	TMEM64			HVCN1	AFMID
C4orf3	TFRC	CAPZA2				RPL6				FAM162A		GABARAP	RHAG	SELENOP	BNIP2	RNF122	SPRY2	IRF2BPL	SF3B1	ENPP1	CDK6	FBXO5	KLHDC4	C8orf44-SGK3	RNF150	SLC44A2	RNF43			BCL7A	CRELD1
LSM6	DHRS11	CAPG				LIMD2				NT5DC2		RAB6A	GABARAPL2	LYN	TAOK1	PIR	IL1RL1	RAPGEF6	DNAJC9	CACNA1H	DNMT3B	APMAP	OSGIN1	HIP1	FGFR1	RAB33B	FHL2			PTP4A3	C6orf89
NOP10	CD82	GNAI2				RPS8				FAM136A		IL1R2	ACP1	TLN1	REEP4	PNCK	PLEKHG5	PDK1	SBK1	QPCTL	GABARAPL1	HIST1H3H	ASB7	MFSD1	CFL1	SLAMF9	CNST			PAFAH1B3	WNT10A
NDUFB7	MINPP1	MSN				RPL3				DDX18		PABPC1L	TSPAN8	FAM89B	UBE2K	RPS6KA1	DNPEP	RRAS2	RSPH1	PLS1	CRTAP	USP46	CMTM6	GRK5	GNB1	GRIA3	LMNA			SYVN1	
TMBIM6	NUDT9	FAM49B				RPL10A				CHCHD4		TMEM40	HEBP1	CDC42	ORMDL2	DNTT	RCN3	ARAP2	EZR	CST6	SERF1A	FOXM1	MSL1	SLC8A1	RTL8B	P2RY13	BTBD19			SNX2	
VAMP8	ACP1	RAP1A				RPS17				POLDIP2		STX11	DNAJB2	ADD3	OXA1L	FMNL2	DEF8	ARHGAP45	SCAF11	NACC2	DEF8	CENPF	PDLIM7	CAPZA2	ARHGEF40	PMEPA1	RTN4R			PLEKHA2	
RPL36A	MCM2	CTSZ				RPL29				PPIE		TP53INP2	PPP1CB	CORO1B	FAM120A	NRXN2	EDEM3	S1PR1	EWSR1	GOLGB1	PTOV1	NDC80	N4BP1	TPPP3	LPAR5	BMP2K	TRPM4			CD55	
CNPY2	NDUFB9	TMEM50A				RPS25				EXOSC7		RASGRP4	BOLA3	GPR141	GRB2	MED10	GNAI3	ARHGEF1	IFT22	HID1	ABHD4	RND1	TOB1	RBKS	COX7C	CD200	DAPK2			HLA-DOB	
SURF4	CCNA2	ACTR3				UBA52				CDCA7L		SLC16A3	PDZK1IP1	RNPEP		EEPD1	AQP9	NDFIP1	PLA2G12A	TAP2	ERG	ESCO2	PAG1	DR1	PLEKHJ1	KYNU	NCK2			KIAA0040	
NCF4	UBE2L6	CALM1				RPS19				SIRT3		SRI	GCH1	SIRPA		EBPL	CD244	IDNK	UCHL1	EPCAM	SYCE2	ACTN4	TSC22D4	FAM89B	UBE2N	CACNA1E	CABLES1			RAG1	
NDUFB3	LIG1	RHOA				RPL22L1				PLSCR3		LRRK2	AQP1	STARD3NL		KYNU	RAB19	VPS37B	DDX39A	SLC33A1	REPIN1	KIF14	FAM222B	ZNF69	MIS18A	GPR146	CTSE			TRIB2	
HSP90AB1	ODC1	RHOG				RPL24				EIF1AY		SQOR	PSME3	NINJ1		ATP6V1D	PAPSS2	MRI1	RAG2	MARS	CDCA7L	DEPDC1B	SNRK	ATRNL1	NFATC2	FADS3	KLHL18			DENND5B	
COPE	RRM1	GNB2				RPS14				MUC13		TNFSF13B	IFRD2	CMPK1		PTPRF	RAB11A	ACAP1	DDAH2	ANKRD55	GCNT2	SEC22C	DDX60	SLC35F6	RNF5	RHOBTB2	KCTD10			DUSP2	
PSMB6	GMNN	GNG5				COX7A2L				PUM3		SLC7A11	SLC25A51	HCK		CDIP1	CHST13	C21orf91	CD38	GNAZ	G6PC3	TMCO3	PBXIP1	PACS2	ARPP19	TGFBR1	OSBPL5			LRMP	
M6PR	CENPA	POMP				EEF2				NDUFAF2		CSF3R	UBE2O	SULF2		APC	CAMK1	VPS28	SIT1	ASIP	TSPAN3	AFF2	USP32	SH3TC1	DNASE1L3	CDC14B	NEURL3			ST6GAL1	
VDAC2	TIPIN	CAPNS1				RPL13A				TFEC		SLC27A4	ALDH1A1	CNDP2		PMVK	CHN2	SOCS1	HNRNPM	PECR	BEX3	ZSCAN29	KIF21B	SRD5A3	NDUFA2	ARHGAP27	RNPEPL1			EDARADD	
SLC25A5	CCNB2	ATP6V0E1				UQCRH				TMEM205		G6PD	CD36	SNX10		TMEM106C	PAFAH2	SPR	HLA-DOB	CPEB3	APEX1	CENPA	PBX2	RNASE4	DERL2	RILPL1	CDYL2			RHOH	
TMED9	RFC4	CLTA				RPL7A				GART		KIAA0513	SLC43A1	LAMP2		ZDHHC14	TBC1D9B	UBAC2	POLD1	UFM1	MFGE8	HJURP	CDS2	TRIO	PRELID3B	PRR5	PRR36			CXCR5	
ARHGDIB	GYPC	CHMP2A				RABAC1				NBDY		SLC40A1	DMTN	ACER3		HHEX	TP53I13	PELI1	PSMA6	GMPPB	FUT8	NOCT	MAX	RAC1	MRPS21	BCR	MIR150			PIK3C2B	
UCHL5	PSMF1					RPL28				ACADS		CCPG1	EIF5	RARG		TLR7	NGLY1	LPXN	RBBP4	ALG5	DAPP1	AP5B1	MINDY1	GNPDA1	GRPEL1	FGFR1OP2	CNR2			TMEM108	
LAMTOR2	KCNN4					PSME1				NSUN2		NHSL2	KLF1	ATP1A3		ADAM19	CASP3	PPP1R12A	COQ7	MS4A1	RBPMS	CIT	ATP6V0A1	BRI3		TKFC	KIDINS220			FAM53B	
CALM3	CARHSP1					RPL35				TM7SF3		HIPK1	PNPO	ADAM15		SELENOT	P2RX4	UGCG	TRA2B	MT2A	RIPOR1	SLC35D2	TNRC6B	THBD		CD180				CAMK2D	
ANP32E	JOSD2					EIF3H				BOLA1		PXN	KEL	DUSP3		GNA11	SMIM3	DPCD	FCHO1	ST8SIA6	CALCRL	RGS19	LMTK2	CASP1		PNCK				SLC1A5	
NDUFB5	BSG					PNRC1				UCK2		CKLF	SLFN14	HGSNAT		RAB6B	SS18L2	NCOR1	SMC1A	GMPPA	VKORC1	ZDHHC3	CAPZA1	TDRD7		SLC39A14				TTPAL	
NDUFV3	PHB2					PFDN5				MYBBP1A		RNF144A	MPP1	BACH1		P2RY13	PLEKHJ1	PRRC2B	SMARCC1	PRAF2	WDR12	TSPAN2	CDK11B	ZNF385A		VPS37A				ARPC5L	
PDIA3	PPM1G					NOP53				PAM16		RASA2	CARHSP1	TMEM51		CALCOCO1	OAF	IPCEF1	CAPSL	HEPACAM2	PLSCR3	CCNE2	PTP4A1	LY96		PHLPP2				C1GALT1	
SUCLG1	MRPL52									THYN1		ADRB2	RNF10	FAM111A		SNX9	IL18RAP	EFR3A	FUS	ERO1B	NOP58	OSCP1	SRPK2	AGPAT4		TLR9				POU2F2	
PSMA4	HARS									PYCR3		PBX1	RAB3IL1	RAP1B		HOXA7	KCTD10	LDB1	SAPCD1	OGFOD3	IDH2	RYBP	MYL12A	NAIP		USO1				REL	
SUMO3	COX6A1									SRP68		MED31	TFRC	EIF4EBP1		TGFBR1	DGKG	GPR132	SF3B2	CLTB	PHGDH	NDUFV3	SAMD8	TMEM184B		SLC37A2				CERK	
BOLA2B	DDX39A									AGPAT5		MYH9	SLC38A5	MAFB		TNS1	MPLKIP	RHOF	SMARCA5	SLC30A7	BZW2	SYNGR1	MIDN	ESD		MED12L				HES1	
