Progenitors (MCA)	Erythroids (MCA)	Monocytes (MCA)	Macrophage (MCA)	pDC (MCA)	Basophil (MCA)	T cells (MCA)	NK cells (MCA)	B cells (MCA)	Plasma cells (MCA)	Progenitors (TM10X)	Granulocytopoietic cells (TM10X)	Neutrophils (TM10X)	Erythroids (TM10X)	Monocytes (TM10X)	DC (TM10X)	pDC (TM10X)	Basophil (TM10X)	T cells (TM10X)	B cells (TM10X)	Plasma cells (TM10X)	Progenitors (TMSS2)	Granulocytopoietic cells (TMSS2)	Neutrophils (TMSS2)	Monocytes (TMSS2)	DC (TMSS2)	pDC (TMSS2)	Basophil (TMSS2)	T cells (TMSS2)	NK cells (TMSS2)	B cells (TMSS2)	Plasma cells (TMSS2)
																			POLR3K		SNRPA	KIZ								CDC5L	
																			PSMC1		THYN1	RECQL								DNAJC5	
																			UQCRC2		G3BP1	KATNBL1								ANKRD17	
																			ELAVL1		HSCB	NEK2								CCDC124	
																			EIF2B1		GMPR	MAPK7								SMU1	
																			TCOF1		TXNL1	CNTD1								PHF3	
																			PRPF4B		NPEPL1	ZNF143								CHORDC1	
																			C11orf58		GLOD4	PIGB								CNOT8	
																			DERA		ALAD	VPS13D								TRIM11	
																			SLC29A1		OCRL	NEMP1								MIER3	
																			SART1		GTF3A	SACM1L								NDUFA11	
																			CHAF1A		GATAD1	DCUN1D2								CHD1	
																			MCM4		LDB1									SEC13	
																			PRIM1		IPO4									CDK12	
																			MAPRE1		PUS7									PSME4	
																			NT5C2		TXNRD1									KHDRBS1	
																			SNAP29		DDX1									ARCN1	
																			TIA1		POLD2									CHMP1B	
																			SEPHS1		GPATCH4									CTBP1	
																			NFYB		SMIM10L1									GLYR1	
																			NSMCE1		PIGX									ZCCHC9	
																			DDX46		MPRIP									C9orf78	
																			POLD2		DDX18									PRRC1	
																			GPBP1		VAT1									PRR14	
																			TFG		PDK1									MTPN	
																			TIMM17B		SSRP1									UTP3	
																			RSRC2		STAT5A									BRD9	
																			FIGNL1		IL1R1									AHCTF1	
																			PAPOLA		EPRS									ZHX1	
																			SIPA1		STARD10									DPP3	
																			NDE1		TIMM8A									PSMA2	
																			PSMC6		KAT2A									TRAPPC6B	
																			IK		HSD17B10									TPP2	
																			CWC15		TMEM98									ABI3	
																			LRRCC1		CBR1									PFDN5	
																			THOC3		NAA10									GCLC	
																			C4orf46		CTXN1									GSKIP	
																			UBXN1		THOC7									MAPRE2	
																			PCM1		PTPMT1									RNF111	
																			PRKD2		NSUN2									BOD1L1	
																			PSMD13		EIF3E									AKIRIN2	
																			PPIG		NOP2									ACIN1	
																			SIGIRR		ADH5									RNF146	
																			SNX30		PRMT5									RNF20	
																			CHD6		NUP62									ELF1	
																			DDX19A		FARSA									TOB2	
																			SMC6		MCM2									PREP	
																			BLMH		NACA									C5orf24	
																			FXN		EBPL									HNRNPUL2	
																			NDUFA11		POR									RBM17	
																			SMU1		SLC7A6									UFD1	
																			RFC1		CD320									INPP5D	
																			PSMC5		YDJC									CHIC2	
																			POLR2G		CACYBP									DPH3	
																			RPF1		DECR1									AMMECR1L	
																			CDC45		EXOSC2									BRWD1	
																			GABPB2		RNF220									LSM12	
																			PSMA1		NCS1									MRPL41	
																			ZRANB2		CCT8									GPBP1	
																			NUDT5		TET1									SNX30	
																			SSNA1		PDGFRB									ZC3H13	
																			CHORDC1		RPS12									VBP1	
																			MAD2L1		SOD2									EIF2AK3	
																			SMIM20		ERF									SCYL1	
																			ZC3H15		CSAD									TRIP12	
																			NDUFA2		RBMXL1									TAF12	
																			NAP1L4		EIF3D									GTF2B	
																			POLA1		RCC2									NSD1	
																			AP1M1		GUCA1A									RNF181	
																			WBP11		HPRT1									POLR2A	
																			BAZ1A		TMBIM1									PAPOLA	
																			BTF3L4		MRPS5									AP1B1	
																			PSMD1		ACADS									IK	
																			MRPS7		NIPSNAP1									BABAM1	
																			CNOT1		SLC29A1									G3BP2	
																			PSMD12		HNRNPAB									SRA1	
																			POLR2J		ERI3									SMCHD1	
																			SLC38A2		WDR18									BRD8	
																			TCF19		POLR2E									ZBTB18	
																			PNRC2		TMEM106C									TAX1BP1	
																			RANGAP1		PSMG2									GTF2A1	
																			CEP57		CMSS1									VARS	
																			IWS1		MCM7									SRSF11	
																			COX7A2		PSMA5									NXF1	
																			WDR33		GART									MRPL10	
																			RBM22		TIMM9									SAP18	
																			LSM14A		ARL2									OXR1	
																			RDM1		DTX3									SZRD1	
																			TTC32		GRWD1									RBM42	
																			URI1		ECI1									RBM27	
																			NCAPD3		PSMA4									BICRA	
																			HCFC1		YTHDF2									PBRM1	
																			PSMD3		SLC48A1									TOMM34	
																			C9orf85		THUMPD1									UBE2J2	
																			KLHL24		HACD1									YTHDC1	
																			FAM110A		BSG									SDHAF2	
																			DDX27		DNAJC2									PKN2	
																			BST1		NDUFAF2									MRPL43	
																			SFR1		MRPL23									COA6	
																			UTP3		SHMT1									ZMYND11	
																			MRPL13		CNBP									MLXIP	
																			RP9		HDAC2									SEH1L	
																			MAF1		NT5C3B									ARFGAP1	
																			CKAP2		GLB1									TMEM39A	
																			MRPS36		RAD50									TOR1AIP1	
																			PSMD14		SUCLG1									ACBD3	
																			DIABLO		TAF1D									TAF1	
																			USP34		AIG1									HERPUD2	
																			MYLIP		ZBED3									IAH1	
																			FAM192A		TRAPPC6A									KAT6A	
																			CHCHD3		PTS									PPP4R3A	
																			CDC42EP3		MRPS28									EAPP	
																			COMMD3		KNOP1									FAM192A	
																			CCDC124		CUEDC2									BRD1	
																			MIS18BP1		EIF3B									SYF2	
																			ADRM1		CSRP1									SART1	
																			TTC5		IDH3G									CCDC59	
																			ZC3H13		AAMP									ZFC3H1	
																			ING2		PGRMC1									AP1AR	
																			NDUFA9		AS3MT									EIF2B2	
																			PFDN2		C7orf50									ZDHHC5	
																			CCNG2		MAZ									PPP3CA	
																			MED13		NOLC1									H2AFV	
																			ATAD2		VDAC3									RRNAD1	
																			KIF15		HOMER3									ZFAND6	
																			SGO1		TMEM41A									DDX46	
																			RAD51AP1		ACADM									WDR76	
																			HDAC5		C11orf58									RBBP5	
																			ING1		PTBP1									ELK4	
																			SLC12A6		PCYOX1L									ZNF830	
																			RAB11B		RPA2									RPRD2	
																			KRAS		ATIC									KANSL1	
																			MRPL9		BOLA1									OSBPL9	
																			RBM6		TSEN15									MIA3	
																			BRD3		GLO1									PRRC2B	
																			PXK		MRI1									GOSR2	
																			HNRNPH2		RPL32									LSM14A	
																			PPP1R35		POLR2H									EMC3	
																			PPP2R1A		DRAP1									YIPF4	
																			DYNLRB1		FDX1									FLII	
																			TMOD3		GID4									HDAC1	
																			RERE		MAP7									ABI1	
																			NFKBID		RPS17									THOC2	
																			SHARPIN		FUNDC2									SP1	
																			MARC2		SWI5									PTPN2	
																			RPA1		ST13									ARL5A	
																			RBX1		SCARF1									SF1	
																			BRD4		COPS3									DPP8	
																			VEZF1		MBD3									DCAF11	
																			PHF14		MRPS6									BECN1	
																			MKNK2		PPAT									ANKRD11	
																			ORC6		GSTM3									MINDY2	
																			FKBP8		MGMT									TMEM126A	
																			S1PR4		EIF3M									DLG1	
																			CSNK1A1		IRAK1									SMG1	
																			MLLT10		DRG1									RBM3	
																			DYNLL1		MCFD2									ELAVL1	
																			BRD7		HSD17B12									FIP1L1	
																			BCAS2		EIF3L									CS	
																			STK4		LYAR									ARHGEF18	
																			CSNK2A1		METAP2									CTCF	
																			LBR		CRISPLD1									UBE2D1	
																			ARID1A		MAP3K20									MYSM1	
																			ING4		GLRX5									HEATR6	
																			RBM5		CDC26									RANBP2	
																			YTHDC1		C1orf131									SLTM	
																			CCDC59		COMMD7									DNAJC21	
																			RSF1		LSM2									IMPA1	
																			OCIAD1		WDR61									ZC3H11A	
																			SGK1		ZWINT									GABPB2	
																			BCAP31		LTC4S									MIER1	
																			ZNF622		OCIAD2									CTPS2	
																			NEMF		VEGFB									DDX39A	
																			SLTM		DNMT3A									LSM14B	
																			FLI1		PPP5C									KIAA1143	
																			DBF4		CAPRIN1									TRAF3IP2	
																			SH3BP5		MRPL17									KIAA2013	
																			DDX17		SSB									ZNF106	
																					DENR									C16orf72	
																					POLE3									SLC30A5	
																					UTP11									DYRK1A	
																					CCT7									ZFP91	
																					AIMP2									RRAGC	
																					CA9									DYNLL1	
																					CLPP									RAB21	
																					DYNLL2									DHX40	
																					NSFL1C									AFF3	
																					SMC1A									FAM120B	
																					TBRG1									YEATS4	
																					F11R									DUSP6	
																					GNL2									PSMB1	
																					NDUFS7									USP3	
																					POLR1C									NOSIP	
																					CHCHD7									CSNK1A1	
																					SLC19A1									TMEM263	
																					HEATR5A									IL12A	
																					ARMC10									SF3B1	
																					SMCO4									SUPT16H	
																					SLC25A3									RIOK1	
																					RPL26									SMARCE1	
																					FXN									AKAP9	
																					NEFH									FRG1	
																					RPL6									TRA2A	
																					POLR2D									KRT15	
																					DPM3									PI4KA	
																					FAM136A									NFAT5	
																					RDH13									ZMYM5	
																					PCBP1									EIF4EBP2	
																					TFAP4									FOXK1	
																					USP22									TCEANC2	
																					IPO5									SENP3	
																					C6orf226									KIF5B	
																					SCOC									ZNF638	
																					ESAM									ICAM2	
																					CDC37									PPP4R3B	
																					RBM43									NRBP1	
																					TSN									PRPF38B	
																					MRPS33									ISCA2	
																					THSD1									ANP32E	
																					ATXN1									MAPK1	
																					MECOM									SAFB	
																					KDSR									PPIL4	
																					SNRPD3									GXYLT1	
																					FAM216A									CRNKL1	
																					TESPA1									SAP130	
																					MRPL13									YPEL3	
																					HSBP1									TRAPPC8	
																					MMACHC									RNF34	
																					RPS4X									DYNC1LI1	
																					CEP57L1									WWP2	
																					SMIM11B									FBXO33	
																					LRMDA									COG8	
																					PHB2									SMAP2	
																					ECE2									ST3GAL1	
																					CETN3									RTF1	
																					CNGB1									ARHGAP25	
																					NDUFA10									GBF1	
																					PBX4									TRNT1	
																					SPR									NIPSNAP3A	
																					PHAX									CSNK1G1	
																					ELK3									PRR14L	
																					HEMGN									TRIM33	
																					RALY									ATF4	
																					CSGALNACT1									PPP1CA	
																					USP10									GIGYF2	
																					LYRM4									HLTF	
																					SMYD5									TTC14	
																					EXOSC1									GDI2	
																					HP1BP3									MKNK2	
																					PURA									VAMP2	
																					PCBP2									TCOF1	
																					GSPT1									FAM204A	
																					ZMYND19									YWHAZ	
																					ARMCX1									RBCK1	
																					MRPL34									VPS13B	
																					WDR46									BTAF1	
																					NOP14									SMIM20	
																					TRIM27									IDNK	
																					NUDT19									NEMF	
																					NAA20									CWC22	
																					EIF2S1									GPS2	
																					SRPK1									KMT2D	
																					FTO									FCHSD2	
																					SLC25A27									DIP2B	
																					CLNS1A									AKIRIN1	
																					RPS5									UBE2I	
																					LAGE3									BAZ2B	
																					SLC35B2									SEC63	
																					PRMT7									SLU7	
																					CCT2									TRAPPC3	
																					SMARCA2									GTF2A2	
																					STOML2									TRAF6	
																					RRP1B									OGDH	
																					SRSF6									KANSL1L	
																					PABPC1									GOLGB1	
																					ASH2L									MPV17L2	
																					BPHL									NKAP	
																					SDHAF4									CEP57	
																					CD151									PFDN4	
																					QTRT2									PPP6C	
																					RXRB									INIP	
																					MAT2A									HIBADH	
																					EIF1AX									RAD23A	
																					PSMD1									LATS2	
																					COQ2									ATRX	
																					BOLA3									TAZ	
																					DDX56									DLGAP4	
																					NAXE									RNF216	
																					CFDP1									SMARCD2	
																					MAML3									PPFIA1	
																					PUS1									CEP250	
																					BAG2									ARIH1	
																					RAE1									MLLT10	
																					EIF4E									ZNF655	
																					STIP1									OTUD4	
																					EEF2KMT									KRIT1	
																					CCNH									SHARPIN	
																					BCLAF1									GORASP2	
																					B9D2									PITHD1	
																					MRPL44									POLD1	
																					PSAT1									LARP4	
																					ACBD6									RFXAP	
																					ACAT1									INPP5K	
																					TMEM223									RFK	
																					CNOT9									WDR33	
																					MRTO4									CYB5B	
																					WDR6									ANO6	
																					IDH3A									FBXW2	
																					TRIP6									NELFCD	
																					POLR3H									ZNF800	
																					TCTEX1D2									THRAP3	
																					NUDCD2									CWC25	
																					CBX3									RNF167	
																					RRS1									RABEP2	
																					DHRS4									TBL1X	
																					U2AF1									ITSN2	
																					RPS3A									CLP1	
																					SOCS5									CENPQ	
																					PSMA1									ZBTB11	
																					CAD									DCUN1D5	
																					GKAP1									TRIP4	
																					E2F6									SEC23B	
																					EIF4H									N4BP2L2	
																					UBA7									PPP1R10	
																					NUMA1									ATG5	
																					NUDT14									CACTIN	
																					CCDC90B									CBLL1	
																					PDF									USP34	
																					UBE2E1									ABRAXAS2	
																					TCP11L1									RBM5	
																					POLR3K									CDK9	
																					SDHC									TSC22D2	
																					CLUH									ZCCHC17	
																					VCP									SWT1	
																					TSR1									GOLGA5	
																					DDRGK1									DDX23	
																					PAIP1									RSF1	
																					CCDC107									PPP4R1	
																					MEX3A									ARID4B	
																					MRPL24									CNOT4	
																					SF3B3									ATF7IP	
																					SAE1									CWF19L2	
																					TOMM40									NUP50	
																					CD3EAP									CNOT2	
																					TYMP									SUZ12	
																					SSBP3									PDHB	
																					NIT2									RNF139	
																					FARSB									TRIM8	
																					AKT1S1									DHX36	
																					TMEM59									KANSL2	
																					KLHDC2									ERBIN	
																					CMAS									RABGEF1	
																					EIF3G									TRAF3IP3	
																					GNPAT									TAF11	
																					TWNK									HNRNPK	
																					MOB2									NRM	
																					HHEX									SCAF8	
																					HNRNPA0									TPR	
																					LARP7									JARID2	
																					TRMT112									BCL10	
																					RPS15									RFXANK	
																					NT5DC2									C5orf34	
																					ACY1									PHC2	
																					SGF29									ZNF148	
																					TCERG1									PRKRIP1	
																					TUFM									HCFC1	
																					ZNF219									ACTR1A	
																					NTMT1									SMIM15	
																					DCAF8									ZFR	
																					HDDC2									STK24	
																					ACSL3									CHTOP	
																					TNFSF10									IPO8	
																					CRTC1									MAF1	
																					ATP23									ZMYM2	
																					PAM16									DDA1	
																					TPD52L2									POLDIP3	
																					SIGIRR									NUBP2	
																					TWISTNB									C2orf42	
																					DST									IKBKG	
																					ARHGEF2									UBALD1	
																					DDX27									JTB	
																					BHLHB9									DDX24	
																					EIF5A									ZBTB7A	
																					MSRB2									ZDHHC20	
																					MCRIP2									YPEL5	
																					ZNF330									UPF3A	
																					LDHA									GLG1	
																					FADS1									GPANK1	
																					DPH6									TOR2A	
																					WDR34									RBMX	
																					ZNF771									SIN3A	
																					CDC16									ARIH2	
																					ZNF146									AKAP10	
																					DGUOK									MECP2	
																					MRPL15									CSPP1	
																					ARHGAP6									NFYB	
																					WDR75									SLC16A1	
																					ZNF512B									ZC3H4	
																					EBNA1BP2									KDM5C	
																					GTPBP4									ASF1A	
																					PHF14									TNKS2	
																					BCS1L									DAZAP1	
																					FNTA									ANKRD12	
																					EID2									CHD8	
																					CTSF									CELF1	
																					HAT1									MAT2B	
																					PAOX									SMARCA5	
																					KIAA1549									NUP214	
																					PTRH2									SMG7	
																					TXN2									UTP14A	
																					TIMM10									KDM5A	
																					CAVIN3									SENP7	
																					SPOUT1									RBM6	
																					HAUS4									NFKBIB	
																					TM2D3									PCMTD2	
																					TPM1									ZC3H18	
																					PEX7									TTC9C	
																					VAV3									ICE1	
																					NDUFAF4									PPP2R2D	
																					PYCR2									NDUFS8	
																					RIF1									CCDC97	
																					JMJD8									ZCCHC7	
																					RPP14									ANKHD1-EIF4EBP3	
																					AHSA1									COMMD4	
																					RPL4									NRBF2	
																					EXOSC6									NGDN	
																					TOMM5									OTUD5	
																					LANCL1									POLR3C	
																					PARN									ZBTB44	
																					GMPS									BRCC3	
																					TARS2									MTA2	
																					LIMK1									XRCC1	
																					EIF4B									SYS1	
																					MSTO1									CHD2	
																					SMAD1									ANAPC16	
																					MDN1									FAM172A	
																					PDXP									PPM1B	
																					HAGHL									STRN4	
																					DYM									PPWD1	
																					MRPL2									YME1L1	
																					MNAT1									SAFB2	
																					SF3A3									DHPS	
																					FBXO3									MBD1	
																					SMYD3									MDM4	
																					NAXD									TAF6	
																					BOD1									GTF2H1	
																					LRRC49									DNAJC30	
																					SNW1									UBR5	
																					CEBPZ									TANK	
																					SRSF3									FBXO38	
																					RRP7A									UBA6	
																					SFR1									DNAJC9	
																					HPS1									ZRANB1	
																					SUMO2									SUPT5H	
																					MRPS2									ASXL2	
																					RPL29									NCOA1	
																					ZKSCAN1									CLK2	
																					NDUFV2									CPSF6	
																					NUDT1									SMNDC1	
																					PANK1									PHC3	
																					CD163									PPP2R2A	
																					MRPS17									MAPK6	
																					ECI2									KIAA1191	
																					RPL24									NXPE3	
																					WDR83OS									EIPR1	
																					SMAD5									BAZ2A	
																					ROMO1									SENP1	
																					MRPL14									DEDD	
																					SCRN2									TRAF3	
																					PCTP									TAPT1	
																					DCPS									CHFR	
																					C1D									PEX2	
																					TLCD2									TOX4	
																					TXLNA									ARF4	
																					HSPA8									TOP2B	
																					DGCR6L									ZC3H7A	
																					WDR36									SLC25A46	
																					PFDN1									PRPF4B	
																					USP14									TIGD2	
																					GTF3C6									CCNT1	
																					RPL7L1									DENND1B	
																					SCO2									NFYC	
																					MRPL19									ARID5A	
																					SNRPB									NOL8	
																					UBAP2									DDIT3	
																					DNTTIP2									COPS7B	
																					RNMT									FAM149B1	
																					TMBIM4									RRP36	
																					HMOX2									UBE4B	
																					PRKCSH									DDX52	
																					ILF2									CCNK	
																					RTP4									CNOT6	
																					NDUFV1									ING3	
																					NAP1L4									RSRC2	
																					PRPS1									ZNF622	
																					AATF									ITGB1BP1	
																					EEF1E1									TRMT1L	
																					NUCKS1									PCF11	
																					UBL7									HERC2	
																					MGME1									UBN2	
																					FAM120C									SLC38A9	
																					MZT1									SETD5	
																					METTL27									DDX58	
																					SLC25A13									OAT	
																					PRPF31									SETX	
																					NUP37									PRKD2	
																					PSPH									TMEM251	
																					C19orf48									REXO1	
																					ERGIC3									ACOT13	
																					ELP3									SUGP1	
																					RPL30									ARID1A	
																					RDX									LENG8	
																					BTF3L4									GRIPAP1	
																					MORF4L1									TBPL1	
																					MRFAP1									RHNO1	
																					SLC39A6									DDX47	
																					UBQLN4									SPG7	
																					STUB1									MED1	
																					MGAT2									ARID2	
																					SPAG7									NMI	
																					TRIM13									CXXC1	
																					NOC4L									SARNP	
																					NTPCR									DICER1	
																					PSMB6									NR2C2	
																					GCN1									PTK2B	
																					BSN									MDP1	
																					UBE2R2									MARK3	
																					CPSF1									POLR2B	
																					GUK1									EPB41L2	
																					TIMM50									ZNF292	
																					RPF2									ARMC1	
																					SREK1									JPT1	
																					COL4A2									HNRNPDL	
																					SNRPG									AXIN1	
																					MANSC1									CCNL2	
																					HAUS1									ZKSCAN3	
																					INAFM1									BDP1	
																					QSER1									SFSWAP	
																					TMX2									OSBPL11	
																					SF3B6									PLAA	
																					DDB1									RCSD1	
																					FUBP3									TTF1	
																					CFAP20									WAC	
																					PSMB2									TGFB1	
																					ABHD11									CCNG2	
																					ZNHIT6									NCBP3	
																					SRP68									ANGEL2	
																					ENY2									TUSC2	
																					CCDC115									BRAP	
																					MTX2									TNRC6A	
																					SF3A1									ZNF207	
																					ALDH16A1									PPP2CA	
																					SNRNP40									BPTF	
																					SREK1IP1									MCRS1	
																					HYAL1									SECISBP2	
																					WWC2									CTDNEP1	
																					SYNCRIP									RBM18	
																					RNF4									KMT5B	
																					JAGN1									PHRF1	
																					TRAPPC2									FRAT1	
																					DNTTIP1									DERA	
																					RAD23B									TNRC6C	
																					STRAP									CIRBP	
																					MINPP1									SLC25A51	
																					ERG28									SIKE1	
																					PSMB10									PCID2	
																					BTBD2									MXD4	
																					DAP3									CHERP	
																					HILPDA									EPC2	
																					IMMT									PMM2	
																					SPPL3									RBM4	
																					MTCH1									DDT	
																					PSMC1									HUWE1	
																					CELA1									DYNLT3	
																					POLR2C									INTS6	
																					IFT74									CRTC2	
																					DNAJA3									EPC1	
																					PIH1D1									NOM1	
																					CASP2									CCDC174	
																					TOMM70									ZNHIT2	
																					TUBB4B									COMMD2	
																					PIGT									NUDCD3	
																					PPP2R3A									TAF7	
																					PBDC1									VPS4A	
																					PLCG1									TBC1D20	
																					ZNF32									KPNA1	
																					TAF5L									INTS2	
																					BAG1									GFM2	
																					THOP1									STRIP1	
																					NBN									SAP30BP	
																					AGK									TRIM59	
																					PINK1									ATG13	
																					MRPS14									KDM3B	
																					EIF3A									KDM2A	
																					EMC10									LSG1	
																					ZC3H7B									DNAJC14	
																					SLC43A1									MAP2K7	
																					FCF1									RC3H1	
																					EMC8									EXOC8	
																					MTA1									YTHDF1	
																					TMEM11									IWS1	
																					NAF1									PIK3C3	
																					POLA1									MED24	
																					FDX2									FAM193A	
																					NMNAT3									MAU2	
																					ITGA6									AKAP8L	
																					RNASEH2A									DENND6A	
																					PSMD5									TAF15	
																					DCAF7									LIAS	
																					RHEB									PIAS1	
																					MRPL36									CYLD	
																					TMED9									TIMMDC1	
																					CYB5R3									RBM33	
																					EIF4G1									GMEB1	
																					POLA2									FAF2	
																					DCAKD									FAM76B	
																					ABCE1									ASH1L	
																					LRRCC1									KBTBD2	
																					CACNA1A									MGA	
																					CCDC181									TAF3	
																					MRPS24									USF1	
																					DMWD									TLK1	
																					PRPSAP1									GIGYF1	
																					PPRC1									XRN1	
																					CCDC122									BMS1	
																					NIPSNAP2									TMEM214	
																					VAMP8									RNF41	
																					LRRC59									HEG1	
																					ISYNA1									CREB1	
																					SUPT3H									PDE4B	
																					TIMM8B									TLK2	
																					NUDT21									RNGTT	
																					MRPL16									DAPK3	
																					CEP290									CAT	
																					FRMD8									TRAK2	
																					MRPL3									EIF4G2	
																					CRLS1									GMCL1	
																					ALDH18A1									CCNY	
																					C8orf82									STXBP3	
																					HDGFL3									GADD45B	
																					TGS1									PRPF38A	
																					RPL34									VPS18	
																					KLHL9									FBXO46	
																					PSMB5									RABIF	
																					ZNF579									GTF3C2	
																					ELP2									PARG	
																					TMED4									UBQLN1	
																					C15orf61									INO80C	
																					ATL3									DCAF17	
																					NUDT5									SNIP1	
																					GPS1									SPSB3	
																					BBX									RAB9A	
																					EPOP									STRADA	
																					TSPAN6									SART3	
																					ADIPOR2									IRF3	
																					CAND1									ORMDL1	
																					GEMIN4									PRORSD1P	
																					AEN									CLCN3	
																					KIFAP3									PLEKHF2	
																					EEFSEC									SMAD7	
																					TIMM44									UBQLN2	
																					UQCRC1									PRPS2	
																					COPS4									PCMTD1	
																					ISY1-RAB43									ZBTB17	
																					HYPK									CEP170	
																					C17orf49									ZNF335	
																					TRMT1									ZNF263	
																					RIDA									MDM2	
																					METTL26									CD2BP2	
																					RARS									PRRC2C	
																					SRSF4									TEX30	
																					DDHD2									IL4R	
																					MRPS12									HELZ	
																					COQ8A									KMT2A	
																					SMIM30									FAM207A	
																					RIOK2									SLC7A6OS	
																					NDUFS3									CPSF7	
																					TRIM44									CLK3	
																					RABL6									MED27	
																					HEATR3									VCPIP1	
																					SNRPA1									CLK4	
																					TSEN54									KDM6A	
																					DPH5									SEC23IP	
																					UTP4									AFF4	
																					MICALL2									IP6K1	
																					CLUAP1									PIK3C2A	
																					NUDT16L1									DDX3Y	
																					TSG101									NNT	
																					FBXO21									TBCC	
																					POLR1B									GABPA	
																					WDR89									UIMC1	
																					GLT8D1									METTL23	
																					LRRC41									ZFP62	
																					LETMD1									WRNIP1	
																					ST7									CHD6	
																					FPGS									HIRA	
																					RPP38									DDX41	
																					MED9									DHX8	
																					RPRD1B									SQSTM1	
																					PNO1									DMAC2	
																					RRP9									TRAF2	
																					RABL2B									ARID5B	
																					ZC3H14									UBE2W	
																					NVL									FIBP	
																					IFI27									TRADD	
																					CTNNB1									REXO4	
																					IMMP1L									PRPF39	
																					LIPT2									TBC1D1	
																					NDUFB9									ERGIC2	
																					COPS5									CREBBP	
																					TMEM237									LETM1	
																					PIGU									CCNT2	
																					EIF6									PLP1	
																					BOP1									CCDC25	
																					TGIF1									TRIM26	
																					NUP85									JMJD6	
																					CALU									STX5	
																					DOCK7									ACD	
																					AIMP1									TNKS	
																					LRP5									AFTPH	
																					GNPNAT1									KIN	
																					SELENOF									CDC37L1	
																					MTHFD2L									EPN1	
																					CUL7									FNBP4	
																					PRRG4									TRIAP1	
																					MEMO1									FEM1A	
																					MRPL50									KLC1	
																					TMEM242									BCL7B	
																					C11orf49									RAD9A	
																					TSACC									DOT1L	
																					MRRF									DMTF1	
																					DEAF1									RHOA	
																					DTD2									OTULIN	
																					TAMM41									RERE	
																					METTL2A									TRAK1	
																					RHBDD3									UCHL3	
																					DHX15									OARD1	
																					ABI2									GRAMD4	
																					HSD17B8									CDKN2AIP	
																					ANKRD49									PIGV	
																					C16orf58									UBR3	
																					QSOX1									HSPH1	
																					SPRYD7									RABGAP1	
																					BFAR									RETREG3	
																					TRUB1									MGRN1	
																					ST6GALNAC4									LRIF1	
																					UNG									ZNF592	
																					RIC8A									BZW1	
																					CLPB									TTC5	
																					PDCD6									GPATCH8	
																					PCGF6									SLC25A37	
																					CHTF8									PWWP2A	
																					WBP1									BNIP1	
																					NCBP2									TRIM35	
																					DNAJC1									ITPR2	
																					COMMD3									C2CD3	
																					ASCC1									EIF3F	
																					CISD2									USP38	
																					MRPS27									CNOT6L	
																					MRPS34									ANKRD40	
																					TMEM107									GATAD2B	
																					MRPL21									C9orf64	
																					WDR4									NDUFAF3	
																					UBAC1									PIAS4	
																					KEAP1									TTC33	
																					TMEM222									SFPQ	
																					SIAE									PKNOX1	
																					MSH6									UBXN7	
																					ZNF664									NRF1	
																					TIMELESS									C9orf85	
																					EFTUD2									CSRNP1	
																					RAB18									HSDL1	
																					SRSF2									FIG4	
																					MRPS18A									EIF2B4	
																					FAM133B									ZBTB1	
																					DNAJA2									POLR3B	
																					ETFA									HDAC7	
																					PSMD2									EMID1	
																					UROD									SMG6	
																					BCL2L12									CAPN7	
																					PSMD3									SLC38A2	
																					TMEM9									EMSY	
																					TMEM39B									AKAP8	
																					PSME3									CLASP1	
																					TSR2									FAM107B	
																					POLR1E									PIK3CA	
																					RABEPK									SLAIN1	
																					IMP4									REV3L	
																					PSMC3									GTF3C1	
																					CENPB									NARF	
																					C15orf40									N4BP2	
																					POLR2J									ATAD1	
																					VPS72									SP2	
																					RPL18A									MATR3	
																					FAM98C									BAP1	
																					RSPH3									CRBN	
																					RARS2									MOB4	
																					ZNF593									BROX	
																					NFIA									HNRNPA2B1	
																					GARS									PI4KB	
																					HYAL2									SH2B3	
																					UBE2L6									DESI2	
																					CCDC58									ESCO1	
																					SF3B5									PNRC1	
																					FERMT3									SMURF2	
																					PEX11B									EGLN2	
																					PRKRA									STARD5	
																					POM121									HNRNPH1	
																					VDAC2									TBC1D17	
																					TRMT61A									CEP120	
																					AARSD1									HIP1R	
																					BCAP31									DHX16	
																					CCS										
																					HACD3										
																					POLR3E										
																					IRF2BP1										
																					STK25										
																					CARNMT1										
																					TSEN2										
																					CAND2										
																					ADSS										
																					RCC1										
																					TRIM14										
																					MRPL39										
																					MRPS25										
																					BLMH										
																					ABHD16A										
																					FBXO7										
																					EHMT2										
																					IFT52										
																					PSMA6										
																					C9orf40										
																					DCTN4										
																					FLCN										
																					POLR2I										
																					TRIM37										
																					AHCYL1										
																					AKIP1										
																					ICK										
																					CNIH1										
																					GATD1										
																					AVEN										
																					PSMD12										
																					RPS19BP1										
																					PLRG1										
																					ELOVL6										
																					CORO7-PAM16										
																					NAA50										
																					MAGED2										
																					ACP1										
																					ZFAND5										
																					OSBPL8										
																					DNASE2										
																					ACAP1										
																					PPA2										
																					GINS2										
																					BAG5										
																					CDC123										
																					PSMD6										
																					NOL11										
																					PECR										
																					COPG1										
																					SLC35B4										
																					SNRNP70										
																					TRMT10C										
																					XPO7										
																					LRWD1										
																					DUSP12										
																					PDCD5										
																					TUT1										
																					TMEM97										
																					MBTD1										
																					NOL6										
																					TARS										
