HSCs	Erythroid	Neutrophil	Macrophage	NK/T cell	B cell
		AP1S2	HNRNPA0		
		ETS2	KLF6		
		OAZ1	COX5A		
		TM9SF2	TOMM7		
		MTDH	MBD2		
		CIB1	NAXD		
		MLLT10	MPC2		
		FAM162A	COMMD7		
		CHMP1B	SLC25A3		
		MOB3A	PRKAA1		
		RAB21	SELENOF		
		CYTH1	DDOST		
		SELENOT	HSPE1		
		CALM3	NPEPL1		
		IPO7	TMED10		
		DBNL	TTC39C		
		XIAP	NDUFS2		
		UBB	UQCR10		
		MBNL3	CYC1		
		COX7A2	PRPSAP2		
		LRP10	DLST		
		DYNLRB1	CIRBP		
		CEP350	SDHB		
		TMED7-TICAM2	SNX1		
		COPZ1	EIF5A2		
		MIEN1	NDUFA9		
		SF3B3	GNG12		
		NEK7	MPC1		
		G3BP1	PHB		
		CRKL	TBCE		
		FAM120C	MAPKAPK2		
		HIF3A	EIF5B		
		UBE2L3	UQCRC1		
		NOTCH2	HSPA5		
		SNX12	UQCRC2		
		NDFIP2	SLC6A9		
		PPP6R3	UBA1		
		ROCK1	SYNCRIP		
		CCT5	PSMA1		
		BRD2	COX7C		
			SNRPB		
			LYPLA2		
			NDUFV1		
			KDELR2		
			PRKCSH		
			SPAG7		
			VPS35		
			ARAF		
			ILF2		
			PSMB1		
			SKP1		
			PDIA6		
			TAF15		
			PSMA4		
			ACSS2		
			PRDX4		
			MAP1LC3B		
			PSMA8		
			ADIPOR2		
			IRF1		
			KMT2B		
			KCTD5		
			GPX4		
